ID,class
0,5
1,9
2,2
3,8
4,2
5,8
6,2
7,5
8,7
9,0
10,0
11,5
12,5
13,8
14,8
15,0
16,1
17,6
18,5
19,0
20,4
21,3
22,3
23,7
24,5
25,9
26,8
27,4
28,9
29,1
30,0
31,9
32,6
33,9
34,2
35,7
36,4
37,1
38,3
39,2
40,1
41,6
42,1
43,1
44,9
45,8
46,1
47,1
48,8
49,3
50,4
51,8
52,8
53,7
54,6
55,8
56,7
57,4
58,1
59,7
60,9
61,9
62,6
63,0
64,2
65,7
66,1
67,6
68,2
69,6
70,6
71,8
72,7
73,8
74,5
75,9
76,8
77,1
78,9
79,7
80,1
81,2
82,2
83,8
84,4
85,2
86,7
87,4
88,0
89,1
90,7
91,0
92,4
93,7
94,9
95,0
96,7
97,7
98,2
99,2
100,3
101,4
102,8
103,4
104,2
105,3
106,5
107,9
108,3
109,2
110,1
111,7
112,9
113,5
114,2
115,7
116,3
117,3
118,3
119,3
120,2
121,7
122,0
123,7
124,0
125,1
126,1
127,8
128,9
129,6
130,5
131,7
132,6
133,9
134,2
135,3
136,6
137,8
138,1
139,1
140,2
141,9
142,0
143,2
144,7
145,9
146,8
147,8
148,4
149,2
150,4
151,3
152,7
153,5
154,1
155,8
156,9
157,5
158,3
159,2
160,5
161,5
162,8
163,4
164,2
165,4
166,0
167,2
168,7
169,9
170,1
171,7
172,9
173,7
174,6
175,8
176,1
177,9
178,2
179,5
180,1
181,1
182,5
183,9
184,3
185,2
186,4
187,9
188,9
189,7
190,2
191,9
192,5
193,2
194,4
195,8
196,0
197,4
198,9
199,0
200,5
201,3
202,4
203,0
204,5
205,5
206,9
207,1
208,8
209,9
210,5
211,3
212,8
213,2
214,4
215,1
216,1
217,1
218,7
219,9
220,2
221,4
222,3
223,5
224,0
225,4
226,2
227,0
228,0
229,0
230,7
231,6
232,0
233,0
234,7
235,4
236,5
237,9
238,4
239,1
240,8
241,4
242,7
243,8
244,8
245,1
246,5
247,5
248,1
249,7
250,2
251,6
252,0
253,5
254,6
255,2
256,1
257,9
258,0
259,8
260,3
261,9
262,0
263,0
264,6
265,9
266,9
267,4
268,0
269,9
270,4
271,3
272,9
273,7
274,0
275,6
276,2
277,3
278,6
279,5
280,5
281,8
282,3
283,7
284,8
285,9
286,8
287,9
288,0
289,4
290,7
291,9
292,8
293,9
294,7
295,6
296,1
297,9
298,6
299,9
300,4
301,9
302,2
303,6
304,1
305,7
306,9
307,6
308,3
309,1
310,3
311,5
312,2
313,6
314,6
315,5
316,2
317,9
318,2
319,2
320,4
321,2
322,3
323,8
324,0
325,3
326,8
327,8
328,3
329,7
330,7
331,7
332,4
333,1
334,7
335,8
336,8
337,0
338,3
339,8
340,4
341,2
342,7
343,6
344,5
345,4
346,8
347,0
348,9
349,0
350,6
351,7
352,8
353,1
354,3
355,4
356,4
357,5
358,6
359,7
360,1
361,8
362,2
363,5
364,7
365,8
366,9
367,8
368,8
369,8
370,2
371,9
372,3
373,9
374,5
375,3
376,2
377,2
378,9
379,4
380,7
381,0
382,9
383,1
384,2
385,0
386,1
387,7
388,7
389,3
390,4
391,8
392,3
393,4
394,1
395,6
396,9
397,9
398,2
399,0
400,6
401,5
402,5
403,2
404,4
405,6
406,6
407,1
408,2
409,1
410,4
411,4
412,1
413,1
414,0
415,3
416,3
417,2
418,7
419,0
420,6
421,7
422,6
423,5
424,2
425,8
426,9
427,5
428,2
429,4
430,6
431,6
432,9
433,7
434,6
435,0
436,2
437,7
438,9
439,5
440,6
441,9
442,4
443,4
444,9
445,5
446,7
447,5
448,5
449,6
450,0
451,9
452,9
453,1
454,9
455,3
456,2
457,8
458,8
459,9
460,7
461,2
462,6
463,7
464,5
465,9
466,9
467,2
468,1
469,2
470,2
471,8
472,2
473,6
474,3
475,1
476,9
477,2
478,9
479,8
480,2
481,4
482,6
483,0
484,4
485,7
486,5
487,4
488,1
489,1
490,2
491,9
492,6
493,8
494,1
495,3
496,0
497,4
498,0
499,1
500,8
501,8
502,7
503,5
504,2
505,5
506,6
507,0
508,6
509,4
510,9
511,5
512,6
513,9
514,6
515,7
516,8
517,7
518,0
519,2
520,6
521,3
522,6
523,0
524,4
525,9
526,9
527,4
528,1
529,1
530,3
531,4
532,1
533,1
534,3
535,7
536,8
537,1
538,7
539,4
540,6
541,6
542,6
543,7
544,8
545,9
546,5
547,4
548,0
549,5
550,8
551,6
552,0
553,0
554,0
555,0
556,6
