ID,class
0,5
1,6
2,2
3,0
4,2
5,8
6,3
7,5
8,7
9,0
10,8
11,7
12,5
13,8
14,8
15,8
16,1
17,6
18,5
19,0
20,3
21,5
22,5
23,7
24,5
25,5
26,5
27,4
28,9
29,1
30,0
31,9
32,4
33,1
34,6
35,7
36,2
37,1
38,7
39,5
40,4
41,6
42,1
43,9
44,5
45,8
46,9
47,6
48,8
49,5
50,7
51,8
52,9
53,7
54,6
55,8
56,7
57,4
58,1
59,7
60,1
61,9
62,6
63,8
64,5
65,7
66,1
67,3
68,6
69,6
70,6
71,8
72,7
73,8
74,7
75,3
76,2
77,9
78,7
79,9
80,1
81,2
82,5
83,0
84,4
85,5
86,5
87,2
88,0
89,5
90,4
91,0
92,0
93,7
94,9
95,4
96,5
97,7
98,6
99,5
100,3
101,4
102,4
103,3
104,2
105,3
106,3
107,9
108,3
109,2
110,1
111,5
112,9
113,3
114,4
115,4
116,5
117,3
118,5
119,3
120,9
121,7
122,0
123,9
124,8
125,1
126,1
127,8
128,9
129,3
130,5
131,7
132,3
133,9
134,1
135,5
136,6
137,8
138,1
139,1
140,3
141,9
142,9
143,3
144,7
145,5
146,8
147,8
148,4
149,5
150,3
151,3
152,9
153,5
154,0
155,8
156,9
157,5
158,3
159,5
160,5
161,5
162,8
163,4
164,3
165,4
166,2
167,2
168,4
169,0
170,9
171,6
172,1
173,3
174,6
175,1
176,9
177,6
178,5
179,5
180,5
181,3
182,7
183,9
184,7
185,0
186,6
187,9
188,9
189,5
190,5
191,9
192,6
193,2
194,4
195,8
196,1
197,5
198,9
199,0
200,5
201,5
202,4
203,0
204,2
205,5
206,9
207,1
208,8
209,9
210,5
211,3
212,8
213,6
214,3
215,1
216,1
217,6
218,7
219,0
220,5
221,4
222,4
223,5
224,1
225,4
226,6
227,1
228,2
229,8
230,4
231,6
232,2
233,0
234,7
235,5
236,3
237,9
238,4
239,1
240,8
241,3
242,7
243,8
244,6
245,1
246,3
247,5
248,1
249,7
250,2
251,9
252,0
253,5
254,6
255,5
256,8
257,9
258,8
259,8
260,9
261,9
262,8
263,0
264,6
265,9
266,1
267,4
268,0
269,9
270,7
271,3
272,3
273,7
274,0
275,6
276,3
277,7
278,6
279,1
280,5
281,5
282,6
283,5
284,8
285,1
286,9
287,3
288,0
289,6
290,7
291,9
292,0
293,9
294,7
295,3
296,1
297,1
298,6
299,8
300,4
301,9
302,4
303,6
304,8
305,7
306,1
307,6
308,7
309,1
310,3
311,4
312,5
313,7
314,3
315,5
316,7
317,7
318,5
319,6
320,4
321,7
322,3
323,8
324,9
325,3
326,8
327,8
328,6
329,3
330,4
331,3
332,4
333,5
334,7
335,1
336,1
337,9
338,1
339,8
340,4
341,7
342,7
343,6
344,5
345,5
346,3
347,0
348,3
349,0
350,6
351,4
352,9
353,1
354,5
355,4
356,5
357,5
358,3
359,7
360,1
361,9
362,0
363,5
364,2
365,8
366,9
367,0
368,0
369,8
370,2
371,9
372,4
373,9
374,5
